Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
Sindarius Thornwell,LAC,23,6,16,1.6,3.6,0.446,0.5,1.2,0.407,1.1,2.4,0.464,0.512,0.7,1.1,0.64,0.4,0.7,1.1,0.6,0.6,0.3,0.7,2.3,4.4
Anthony Tolliver,DET,21,1,18.3,2,5,0.394,1.4,4,0.349,0.6,1,0.571,0.534,1,1.4,0.724,0.6,2.1,2.8,1,0.5,0.3,0.6,1.6,6.3
Karl-Anthony Towns,MIN,26,26,34.8,7.5,14.3,0.526,1.3,3.5,0.367,6.2,10.8,0.577,0.57,3.5,4.2,0.852,2.7,8.9,11.6,1.6,0.6,1.3,2.1,3.5,19.8
P.J. Tucker,HOU,23,2,27.1,2.1,5.1,0.41,1.3,3.7,0.369,0.7,1.4,0.515,0.543,0.8,1,0.826,1.2,4.8,6,0.9,1.3,0.3,1.2,2.9,6.3
Evan Turner,POR,24,1,26,3,7.7,0.386,0.3,1.7,0.195,2.6,6,0.441,0.408,1.4,1.7,0.85,0.4,3.4,3.8,2.3,0.7,0.4,1.7,2.1,7.7
Myles Turner,IND,18,17,29.1,5.4,11.2,0.488,0.8,2.5,0.333,4.6,8.7,0.532,0.525,2.1,2.7,0.792,0.9,6.4,7.3,1.5,0.3,2.4,1.6,3,13.8
Ekpe Udoh,UTA,25,0,14.4,1,2,0.471,0,0,0,1,2,0.471,0.471,0.6,0.8,0.8,1.2,1,2.2,1.2,0.6,1.3,0.4,2,2.6
Tyler Ulis,PHO,26,14,23.7,3.1,7.8,0.394,0.5,1.6,0.286,2.6,6.2,0.422,0.424,1.5,1.9,0.796,0.2,1.6,1.8,4.2,1,0.1,2.1,1.5,8.1
Jonas Valanciunas,TOR,18,18,20.2,4,7.4,0.541,0.1,0.3,0.2,3.9,7.1,0.555,0.545,2.1,2.3,0.881,2.2,4.8,7.1,0.7,0.3,0.6,1.6,2.8,10.1
Denzel Valentine,CHI,23,12,29.3,3.7,9.8,0.382,2.3,5.5,0.413,1.5,4.3,0.343,0.498,0.2,0.3,0.714,0.8,4.6,5.4,3.1,0.8,0.1,1,2,10
Fred VanVleet,TOR,22,0,16.5,2.3,5.8,0.398,0.8,2.4,0.346,1.5,3.5,0.434,0.469,0.9,1,0.87,0.2,1.4,1.6,3.1,0.8,0.2,0.9,1.4,6.4
Rashad Vaughn,MIL,11,0,7.5,1.1,2.5,0.444,0.6,1.5,0.438,0.5,1,0.455,0.574,0.3,0.4,0.75,0.1,0.6,0.7,0.5,0.3,0.2,0.1,0.6,3.1
Noah Vonleh,POR,17,12,21.7,2.1,3.9,0.53,0,0,0,2.1,3.9,0.53,0.53,0.9,1.2,0.762,1.8,6,7.8,0.5,0.3,0.6,0.6,2.1,5.1
Nikola Vucevic,ORL,26,26,30.1,7,14.2,0.489,1.4,4.2,0.339,5.5,10,0.552,0.539,1.3,1.7,0.814,1.6,7.2,8.8,3.1,1,1.1,1.7,2.5,16.7
Dwyane Wade,CLE,24,3,23.7,4.5,9.8,0.453,0.4,1.2,0.345,4,8.6,0.469,0.475,2.3,3.1,0.72,0.7,3.1,3.8,3.9,1,0.9,2,1.9,11.6
Dion Waiters,MIA,22,22,31.1,5.9,14.6,0.401,2.1,6.4,0.326,3.8,8.2,0.459,0.472,1.5,2,0.756,0.4,2.1,2.5,3.8,0.8,0.3,2.6,2.1,15.4
Kemba Walker,CHO,21,21,35.2,7.3,16.7,0.439,2.3,6.6,0.355,5,10.1,0.493,0.509,5.7,6.6,0.863,0.6,3.2,3.8,6.2,0.8,0.3,2,1.6,22.7
John Wall,WAS,16,16,34.4,6.9,16,0.434,1.2,3.8,0.317,5.8,12.3,0.469,0.471,5.3,7,0.75,0.4,3,3.4,9.2,1.1,1.1,3,2.1,20.3
Taurean Waller-Prince,ATL,24,24,30.8,4.8,11.2,0.431,1.7,4,0.427,3.1,7.2,0.434,0.507,1.1,1.6,0.711,0.8,4.3,5.1,2.3,1.2,0.5,2.2,2.1,12.5
Derrick Walton,MIA,4,0,3,0,0.8,0,0,0.3,0,0,0.5,0,0,0.5,0.5,1,0,0.5,0.5,0,0.3,0.3,0,0,0.5
T.J. Warren,PHO,27,27,31.4,7.7,15.6,0.493,0.3,1.5,0.175,7.4,14.1,0.526,0.501,2.9,3.9,0.743,2,3.8,5.8,1.2,0.9,0.7,1.3,2.2,18.6
Briante Weber,HOU,4,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.3,0.3,0,0.3,0.3,0
David West,GSW,24,0,12.3,2.9,4.4,0.657,0.1,0.3,0.5,2.8,4.1,0.667,0.671,0.7,1,0.667,0.8,2.5,3.3,1.7,0.6,1.2,1.1,1.5,6.5
Russell Westbrook,OKC,24,24,35.7,8,19.9,0.403,1.9,5.7,0.328,6.1,14.2,0.432,0.45,5,7,0.719,1.5,7.8,9.3,9.7,2,0.1,4.9,2.7,22.9
Derrick White,SAS,5,0,7.6,0.2,1,0.2,0,0,0,0.2,1,0.2,0.2,0.6,1.2,0.5,0.4,1.2,1.6,0.6,0.6,0.4,0.2,0.8,1
Okaro White,MIA,6,4,13.3,1.2,2.7,0.438,0.7,1.8,0.364,0.5,0.8,0.6,0.563,0.3,0.5,0.667,0.5,1.3,1.8,0.3,0.2,0.2,0.2,1,3.3
