Rk,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
77,Vince Carter,SF,SAC,15,0,12.2,1,3.3,0.306,0.6,1.9,0.321,0.4,1.4,0.286,0.398,0.2,0.4,0.5,0.1,1.1,1.2,0.7,0.4,0.3,0.4,1.3,2.8
78,Michael Carter-Williams,PG,CHO,12,2,17.8,1.3,5.3,0.25,0.3,1.1,0.308,1,4.3,0.235,0.281,2.2,2.7,0.813,0.9,2.1,3,2.8,1,0.3,1.4,2.1,5.2
79,Alex Caruso,PG,LAL,2,0,9.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,1,1,2,0,0,1,0,1
80,Omri Casspi,SF,GSW,22,4,14.6,2.3,4,0.575,0.3,0.5,0.583,2,3.4,0.573,0.615,1,1.4,0.767,0.4,3.5,3.9,1,0.3,0.5,0.7,1.5,5.9
81,Willie Cauley-Stein,C,SAC,23,16,24.6,4.2,8.4,0.5,0,0.3,0.167,4.2,8.2,0.511,0.503,1.7,2.4,0.709,1.7,4.2,5.9,2.2,0.8,1,1.5,2.1,10.2
82,Tyler Cavanaugh,PF,ATL,15,0,12.1,1.6,3.3,0.49,0.7,2,0.367,0.9,1.3,0.684,0.602,0.3,0.4,0.667,0.7,1.7,2.4,1.1,0.2,0.1,0.3,1.3,4.2
83,Mario Chalmers,PG,MEM,23,7,23.8,2.7,7.5,0.36,0.7,2.9,0.224,2,4.6,0.448,0.404,2,2.5,0.789,0.1,2.7,2.9,3.7,1.3,0.2,1.7,3,8
84,Tyson Chandler,C,PHO,19,19,25.9,3.1,4.7,0.656,0,0,,3.1,4.7,0.656,0.656,1.4,2.2,0.659,3.1,6.7,9.8,1,0.4,0.7,1.2,2.7,7.6
85,Wilson Chandler,SF,DEN,20,20,29.9,3.1,7.8,0.397,0.9,3.1,0.29,2.2,4.7,0.468,0.455,1.4,1.7,0.824,1.3,3.3,4.5,2.7,0.5,0.4,1.5,1.9,8.5
86,Marquese Chriss,PF,PHO,27,21,19.9,2.2,5.5,0.405,0.7,2.2,0.322,1.5,3.3,0.461,0.47,1,1.4,0.73,0.8,3.7,4.5,1.2,0.6,1.1,1.1,2.9,6.1
87,Ian Clark,SG,NOP,21,0,14.3,1.6,4.6,0.351,0.7,2.4,0.294,0.9,2.2,0.413,0.428,0.4,0.6,0.667,0.1,1.2,1.3,1.4,0.4,0,0.7,1.1,4.3
88,Jordan Clarkson,SG,LAL,24,0,22.5,5.8,12.1,0.481,1.3,3.5,0.376,4.5,8.6,0.524,0.536,1.9,2.5,0.763,0.8,2,2.8,2.8,0.7,0,1.9,1.5,14.9
89,Gian Clavell,SG,DAL,7,0,9.1,0.9,2.6,0.333,0.9,2.1,0.4,0,0.4,0,0.5,0.3,0.3,1,0.1,0.9,1,0.4,0.3,0,0.3,1.1,2.9
90,Antonius Cleveland,SG,DAL,7,0,3.6,0.3,0.7,0.4,0,0,,0.3,0.7,0.4,0.4,0.3,0.6,0.5,0.3,0.4,0.7,0.3,0.1,0,0.1,0.6,0.9
91,John Collins,PF,ATL,21,4,23,4.9,8.3,0.592,0,0,0,4.9,8.2,0.595,0.592,1.7,2.2,0.766,3.1,4,7.1,0.8,0.7,0.9,1.5,3.7,11.5
92,Zach Collins,C,POR,8,0,4.6,0.1,1.1,0.111,0.1,0.4,0.333,0,0.8,0,0.167,0,0,,0.3,0.5,0.8,0.3,0,0,0.8,1.3,0.4
93,Darren Collison,PG,IND,25,25,31.2,4.4,9.6,0.461,1.2,3.2,0.367,3.3,6.5,0.506,0.521,2.2,2.5,0.873,0.6,2.4,3.1,6.4,1.3,0.2,1.5,2,12.2
94,Nick Collison,PF,OKC,4,0,5.5,0.8,1,0.75,0,0,,0.8,1,0.75,0.75,0.5,0.5,1,0.8,1,1.8,0.8,0,0,0.5,0.3,2
95,Mike Conley,PG,MEM,12,12,31.1,5.3,14,0.381,2,6.4,0.312,3.3,7.6,0.44,0.452,4.4,5.5,0.803,0,2.3,2.3,4.1,1,0.3,1.5,2,17.1
96,Pat Connaughton,SG,POR,24,5,19.8,2.3,5,0.446,1.3,2.9,0.429,1,2.1,0.471,0.57,0.5,0.6,0.929,0.3,2.1,2.3,1.2,0.2,0.3,0.7,1.2,6.3
97,Quinn Cook,PG,GSW,4,1,10.3,1.5,3,0.5,0.5,1.5,0.333,1,1.5,0.667,0.583,0,0,,0.3,1,1.3,2,0,0,0.5,0.8,3.5
98,Charles Cooke,SG,NOP,2,0,2.5,0.5,2,0.25,0,1,0,0.5,1,0.5,0.25,0,0,,0,0,0,0.5,0.5,0,0,0,1
99,Jack Cooley,PF,SAC,1,0,2,0,1,0,0,0,,0,1,0,0,2,2,1,0,1,1,1,0,0,0,0,2
100,Matt Costello,C,SAS,1,0,11,1,1,1,0,0,,1,1,1,1,0,0,,0,5,5,0,0,2,0,3,2
101,DeMarcus Cousins,C,NOP,25,25,35.6,8.9,19.3,0.462,2.2,6.6,0.331,6.7,12.7,0.53,0.519,5.8,7.9,0.737,2.2,10.5,12.6,5.1,1.6,1.7,5,3.5,25.9
102,Robert Covington,PF,PHI,24,24,32,5.2,11.8,0.44,3.2,7.7,0.416,2,4,0.485,0.576,1.6,2,0.809,1.1,5.1,6.2,1.9,1.5,0.8,1.8,3.3,15.1
103,Allen Crabbe,SG,BRK,21,14,27.2,4.1,10,0.412,2.5,6.2,0.405,1.6,3.8,0.425,0.538,1.5,1.8,0.816,0.4,3.6,4,1.4,0.6,0.2,1.2,1.9,12.3
104,Torrey Craig,SF,DEN,1,0,6,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0
105,Jamal Crawford,SG,MIN,26,0,17.5,3.2,8,0.399,1.2,3.5,0.352,2,4.5,0.436,0.476,1.6,1.7,0.932,0.2,0.9,1.1,2,0.5,0.1,1.2,1.1,9.2
106,Jordan Crawford,SG,NOP,2,0,18.5,3.5,7,0.5,2,2.5,0.8,1.5,4.5,0.333,0.643,0,0,,1,0.5,1.5,4.5,0,0.5,2,3,9
107,Jae Crowder,SF,CLE,25,22,25.6,2.7,7,0.386,1.2,3.7,0.323,1.5,3.3,0.458,0.472,1.8,2,0.882,0.7,2.3,3,1,0.7,0.1,1,2.1,8.4
108,Dante Cunningham,SF,NOP,25,19,23,2.1,5,0.413,0.8,2.8,0.3,1.2,2.2,0.554,0.496,0.5,0.8,0.6,1,3.1,4.1,0.7,0.6,0.3,0.3,1.8,5.5
109,Stephen Curry,PG,GSW,23,23,32.6,8.3,17.7,0.473,3.6,9.5,0.381,4.7,8.2,0.58,0.575,6,6.5,0.933,0.7,4.4,5.1,6.6,1.7,0.2,2.9,2.5,26.3
110,Troy Daniels,SG,PHO,27,0,15.4,2.2,5.2,0.429,1.8,4.1,0.429,0.4,1,0.429,0.6,0.3,0.3,0.875,0.1,1,1.1,0.4,0.3,0,0.6,1.3,6.5
111,Anthony Davis,PF,NOP,21,21,34.9,9.2,16,0.573,0.7,1.9,0.359,8.5,14.2,0.601,0.593,6.2,7.9,0.783,2.4,8.6,11,2.6,1.2,1.7,2.2,1.9,25.2
112,Deyonta Davis,C,MEM,11,0,11.7,1.6,2.7,0.6,0,0,,1.6,2.7,0.6,0.6,0.5,0.6,0.714,0.5,2.3,2.8,0.4,0.4,0.8,0.3,1.7,3.7
113,Ed Davis,PF,POR,24,0,17.3,1.8,3.6,0.483,0,0,,1.8,3.6,0.483,0.483,1.1,1.6,0.684,2.6,4.4,7,0.4,0.5,0.7,0.9,2.2,4.6
114,Dewayne Dedmon,C,ATL,20,20,24.4,4.6,7.7,0.601,0.7,1.5,0.483,3.9,6.2,0.629,0.647,1.2,1.6,0.719,2,5.8,7.8,1.4,0.4,0.9,1.8,3,11.1
115,Sam Dekker,SF,LAC,20,0,10.4,1.3,3.6,0.361,0.3,1.7,0.152,1.1,2,0.538,0.396,0.3,0.5,0.6,0.6,1.4,2,0.4,0.4,0.3,0.6,0.9,3.2
116,Malcolm Delaney,PG,ATL,18,2,19.5,1.8,4.8,0.379,0.7,1.9,0.371,1.1,2.9,0.385,0.454,1.1,1.5,0.704,0.3,1.6,1.9,1.9,0.8,0.1,1.2,1.3,5.4
117,Matthew Dellavedova,PG,MIL,13,1,20,1.9,5.1,0.379,0.8,2.2,0.379,1.1,2.8,0.378,0.462,0.8,0.8,0.909,0.5,1.6,2.2,3.2,0.2,0,1.6,1.8,5.5
118,Luol Deng,SF,LAL,1,1,13,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,1,1,0,1,0,2
119,DeMar DeRozan,SG,TOR,22,22,34.3,8.4,17.5,0.478,0.7,2.6,0.276,7.6,14.9,0.514,0.499,5.8,7.2,0.81,0.8,3.6,4.5,4.9,1.3,0.2,2.6,1.8,23.3
120,Cheick Diallo,PF,NOP,15,0,7.3,1.2,2.1,0.563,0,0,,1.2,2.1,0.563,0.563,0.2,0.4,0.5,0.5,1.7,2.2,0.2,0,0.1,0.5,1.3,2.6
121,Gorgui Dieng,C,MIN,23,0,17.1,2.7,5.1,0.521,0.2,1,0.227,2.4,4.1,0.589,0.543,1.3,1.8,0.756,1.7,3,4.6,1.3,0.6,0.1,1,2,6.9
122,Spencer Dinwiddie,PG,BRK,23,13,26,4,10.1,0.401,2,5,0.388,2.1,5,0.414,0.498,2.2,2.9,0.758,0.7,2.6,3.2,6.3,0.7,0.4,1.1,2.7,12.2
123,Tyler Dorsey,SG,ATL,8,0,6.3,0.8,2.1,0.353,0.5,1.5,0.333,0.3,0.6,0.4,0.471,0.4,0.5,0.75,0.1,0.9,1,0.4,0,0,0.5,0.1,2.4
124,Damyean Dotson,SG,NYK,16,2,9,1.1,2.6,0.439,0.4,1.1,0.333,0.8,1.4,0.522,0.512,0.1,0.2,0.667,0.2,1.3,1.5,0.4,0.1,0.1,0.2,0.6,2.8
125,Goran Dragic,PG,MIA,24,24,32,6.3,13.8,0.452,1.8,4.4,0.4,4.5,9.5,0.476,0.515,2.9,3.7,0.795,0.7,3.3,3.9,4.5,0.9,0.1,2.4,2.2,17.2
126,Andre Drummond,C,DET,24,24,33.5,5.8,10.4,0.556,0,0.1,0,5.8,10.3,0.56,0.556,3.1,5,0.622,5,10.2,15.3,4,1.6,1.2,3.1,3.5,14.7
127,Jared Dudley,PF,PHO,11,0,15.1,1.5,3.1,0.471,0.9,1.9,0.476,0.5,1.2,0.462,0.618,0.8,1,0.818,0.5,2.3,2.7,2.4,0.6,0.2,0.6,2.1,4.6
128,Kris Dunn,PG,CHI,19,10,27.4,5.2,11.7,0.439,1.1,2.4,0.444,4.1,9.4,0.438,0.484,0.8,1.4,0.577,0.7,4,4.7,4.5,1.9,0.3,3.2,3.2,12.2
129,Kevin Durant,SF,GSW,21,21,34.2,9.3,18,0.519,2.4,6,0.394,7,12,0.582,0.585,4,4.7,0.867,0.5,6.1,6.6,5.2,0.8,2,3.6,2.3,25.1
